gcam_scenario,target_scenario,Sector,Technology,Policy_Type,Year,MSG_Impl,Value,target_num,target_unit,GCAM_Share,iamc_var,iamc_raw,iamc_raw_unit,conversion,gcam_value,gen_var,gen_raw_EJ,gen_GWa,cf,cf_source,gen_implied_GW,is_ndc,ndc_mult,gap_abs,gap_pct,direction,ref_gcam_value,ref_gap_pct,cm_gcam_value,cm_gap_pct,gap_change_pct,cm_vs_ref,calc_note
Reference,Current Measures,Power,Solar,Additional Capacity (GW),2030,Hard bound (Min),2.6742,2.6742,GW,NA,Capacity Additions|Electricity|Solar,6.045788881493612,GW,1,6.045788881493612,Secondary Energy|Electricity|Solar,0.1651025337,5.235366672094923,0.2596,electricity_water.xml (Pak),20.167051895589072,FALSE,NA,3.3715888814936124,126.07841154340036,OVER,6.045788881493612,126.07841154340036,7.201097603531163,169.280442881279,43.20203133787862,WIDENING,IAMC 'Capacity Additions' = 6.0458 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.165103 EJ = 5.235 GWa. CF = 0.2596 (electricity_water.xml (Pak))
CurrentMeasures,Current Measures,Power,Solar,Total Capacity (GW),2025,Hard bound (Min/Max),28.27,28.27,GW,NA,Capacity|Electricity|Solar,23.40014696279228,GW,1,23.40014696279228,Secondary Energy|Electricity|Solar,0.05176473846,1.6414489859715236,0.2596,electricity_water.xml (Pak),6.322993012216963,FALSE,NA,-4.869853037207719,-17.2262222752307,UNDER,19.78518747238745,-30.01348612526548,23.40014696279228,-17.2262222752307,12.78726385003478,CLOSING,IAMC direct = 23.40 GW (gcamreport blended CF). Gen = 0.051765 EJ = 1.641 GWa / CF 0.2596 = 6.3 GW implied (electricity_water.xml (Pak))
Reference,Current Measures,Power,Solar,Total Capacity (GW),2025,Hard bound (Min/Max),28.27,28.27,GW,NA,Capacity|Electricity|Solar,19.78518747238745,GW,1,19.78518747238745,Secondary Energy|Electricity|Solar,0.04279878912,1.357140615249485,0.2596,electricity_water.xml (Pak),5.227814388480296,FALSE,NA,-8.48481252761255,-30.01348612526548,UNDER,19.78518747238745,-30.01348612526548,23.40014696279228,-17.2262222752307,12.78726385003478,CLOSING,IAMC direct = 19.79 GW (gcamreport blended CF). Gen = 0.042799 EJ = 1.357 GWa / CF 0.2596 = 5.2 GW implied (electricity_water.xml (Pak))
CurrentMeasures,Current Measures,Power,Wind,Additional Capacity (GW),2030,Hard bound (Min),0.4358,0.4358,GW,NA,Capacity Additions|Electricity|Wind,0.8685626675299366,GW,1,0.8685626675299366,Secondary Energy|Electricity|Wind,0.05462549266,1.7321629008951414,0.35,electricity_water.xml (Pak),4.949036859700404,FALSE,NA,0.4327626675299366,99.30304440797076,OVER,1.301473073862689,198.63998941319159,0.8685626675299366,99.30304440797076,-99.33694500522083,CLOSING,IAMC 'Capacity Additions' = 0.8686 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.054625 EJ = 1.732 GWa. CF = 0.3500 (electricity_water.xml (Pak))
Reference,Current Measures,Power,Wind,Additional Capacity (GW),2030,Hard bound (Min),0.4358,0.4358,GW,NA,Capacity Additions|Electricity|Wind,1.301473073862689,GW,1,1.301473073862689,Secondary Energy|Electricity|Wind,0.0782433891,2.4810814372492893,0.35,electricity_water.xml (Pak),7.088804106426541,FALSE,NA,0.865673073862689,198.63998941319159,OVER,1.301473073862689,198.63998941319159,0.8685626675299366,99.30304440797076,-99.33694500522083,CLOSING,IAMC 'Capacity Additions' = 1.3015 GW/yr (gcamreport annualizes: total_new_vintage / 5). Gen = 0.078243 EJ = 2.481 GWa. CF = 0.3500 (electricity_water.xml (Pak))
CurrentMeasures,Current Measures,Power,Wind,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.45,0.45,GWa,0.021729683,Secondary Energy|Electricity|Wind,0.01828879486,EJ,31.70979,0.5799338443636793,NA,NA,NA,0.35,electricity_water.xml (Pak),NA,FALSE,NA,0.12993384436367933,28.874187636373183,OVER,0.755660502573669,67.92455612748199,0.5799338443636793,28.874187636373183,-39.05036849110881,CLOSING,IAMC 'Secondary Energy|Electricity|Wind' = 0.018289 EJ * 31.70979 = 0.580 GWa
Reference,Current Measures,Power,Wind,Total Annual Acitivity (GWa ),2025,Hard bound (Min/Max),0.45,0.45,GWa,0.021729683,Secondary Energy|Electricity|Wind,0.0238305111,EJ,31.70979,0.755660502573669,NA,NA,NA,0.35,electricity_water.xml (Pak),NA,FALSE,NA,0.305660502573669,67.92455612748199,OVER,0.755660502573669,67.92455612748199,0.5799338443636793,28.874187636373183,-39.05036849110881,CLOSING,IAMC 'Secondary Energy|Electricity|Wind' = 0.023831 EJ * 31.70979 = 0.756 GWa
CurrentMeasures,Current Measures,Power,Wind,Total Capacity (GW),2025,Hard bound (Min/Max),1.845,1.845,GW,NA,Capacity|Electricity|Wind,5.161533092794043,GW,1,5.161533092794043,Secondary Energy|Electricity|Wind,0.01828879486,0.5799338443636793,0.35,electricity_water.xml (Pak),1.6569538410390838,FALSE,NA,3.3165330927940433,179.75789120834924,OVER,6.482097104587294,251.33317640039533,5.161533092794043,179.75789120834924,-71.5752851920461,CLOSING,IAMC direct = 5.16 GW (gcamreport blended CF). Gen = 0.018289 EJ = 0.580 GWa / CF 0.3500 = 1.7 GW implied (electricity_water.xml (Pak))
Reference,Current Measures,Power,Wind,Total Capacity (GW),2025,Hard bound (Min/Max),1.845,1.845,GW,NA,Capacity|Electricity|Wind,6.482097104587294,GW,1,6.482097104587294,Secondary Energy|Electricity|Wind,0.0238305111,0.755660502573669,0.35,electricity_water.xml (Pak),2.15903000735334,FALSE,NA,4.637097104587294,251.33317640039533,OVER,6.482097104587294,251.33317640039533,5.161533092794043,179.75789120834924,-71.5752851920461,CLOSING,IAMC direct = 6.48 GW (gcamreport blended CF). Gen = 0.023831 EJ = 0.756 GWa / CF 0.3500 = 2.2 GW implied (electricity_water.xml (Pak))
CurrentMeasures,Current Measures,Transport,Electric Vehicles,Total Activity (GWa ),2025,Hard bound (Min/Max),0.007907,0.007907,GWa,2.96921e-4,Final Energy|Transportation|Light-Duty Vehicle|Electricity,0.0384381015,EJ,31.70979,1.218864126563685,NA,NA,NA,NA,NA,NA,FALSE,NA,1.210957126563685,15315.000968302578,OVER,1.1829974209181102,14861.393966335021,1.218864126563685,15315.000968302578,453.60700196755715,WIDENING,IAMC 'Final Energy|Transportation|Light-Duty Vehicle|Electricity' = 0.038438 EJ * 31.70979 = 1.219 GWa
