Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,gas,gas (CC),electricity,2021,0.161105
EJ,Reference,Pakistan,gas,gas (CC),electricity,2025,0.182187
EJ,Reference,Pakistan,gas,gas (CC),electricity,2030,0.235703
EJ,Reference,Pakistan,gas,gas (CC),electricity,2035,0.289159
EJ,Reference,Pakistan,gas,gas (CC),electricity,2040,0.372245
EJ,Reference,Pakistan,gas,gas (CC),electricity,2045,0.480005
EJ,Reference,Pakistan,gas,gas (CC),electricity,2050,0.576264
EJ,Reference,Pakistan,gas,gas (CC),electricity,2055,0.643718
EJ,Reference,Pakistan,gas,gas (CC),electricity,2060,0.797574
EJ,Reference,Pakistan,gas,gas (CC),electricity,2065,0.9693
EJ,Reference,Pakistan,gas,gas (CC),electricity,2070,1.15644
EJ,Reference,Pakistan,gas,gas (CC),electricity,2075,1.34538
EJ,Reference,Pakistan,gas,gas (CC),electricity,2080,1.52195
EJ,Reference,Pakistan,gas,gas (CC),electricity,2085,1.65806
EJ,Reference,Pakistan,gas,gas (CC),electricity,2090,1.81018
EJ,Reference,Pakistan,gas,gas (CC),electricity,2095,1.97425
EJ,Reference,Pakistan,gas,gas (CC),electricity,2100,2.15982
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,1990,0.0441109
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2005,0.096677
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2010,0.0931684
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2015,0.126017
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2021,0.0360732
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2025,0.0341859
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2030,0.0423981
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2035,0.0486144
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2040,0.058873
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2045,0.0727322
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2050,0.080909
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2055,0.0843833
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2060,0.0974926
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2065,0.10357
EJ,Reference,Pakistan,gas,gas (steam/CT),electricity,2070,0.104706
